,file_name,variable_name,axis,domain,sample_size,rotation_hz,label,sample_rate
0,188.mat,X188_DE_time,DE,time,122136,28.83333333333333,7,12000
1,188.mat,X188_FE_time,FE,time,122136,28.83333333333333,7,12000
2,188.mat,X188_BA_time,BA,time,122136,28.83333333333333,7,12000
3,222.mat,X222_DE_time,DE,time,121991,29.95,7,12000
4,222.mat,X222_FE_time,FE,time,121991,29.95,7,12000
5,222.mat,X222_BA_time,BA,time,121991,29.95,7,12000
6,276.mat,X276_DE_time,DE,time,121351,29.16666666666667,4,12000
7,276.mat,X276_FE_time,FE,time,121351,29.16666666666667,4,12000
8,276.mat,X276_BA_time,BA,time,121351,29.16666666666667,4,12000
9,100.mat,X100_DE_time,DE,time,485643,28.83333333333333,0,12000
10,100.mat,X100_FE_time,FE,time,485643,28.83333333333333,0,12000
11,105.mat,X105_DE_time,DE,time,121265,29.95,4,12000
12,105.mat,X105_FE_time,FE,time,121265,29.95,4,12000
13,105.mat,X105_BA_time,BA,time,121265,29.95,4,12000
14,106.mat,X106_DE_time,DE,time,121991,29.53333333333333,4,12000
15,106.mat,X106_FE_time,FE,time,121991,29.53333333333333,4,12000
16,106.mat,X106_BA_time,BA,time,121991,29.53333333333333,4,12000
17,107.mat,X107_DE_time,DE,time,122136,29.16666666666667,4,12000
18,107.mat,X107_FE_time,FE,time,122136,29.16666666666667,4,12000
19,107.mat,X107_BA_time,BA,time,122136,29.16666666666667,4,12000
20,108.mat,X108_DE_time,DE,time,122917,28.83333333333333,4,12000
21,108.mat,X108_FE_time,FE,time,122917,28.83333333333333,4,12000
22,108.mat,X108_BA_time,BA,time,122917,28.83333333333333,4,12000
23,109.mat,X109_DE_time,DE,time,243938,29.95,4,48000
24,109.mat,X109_FE_time,FE,time,243938,29.95,4,48000
25,110.mat,X110_DE_time,DE,time,486224,29.53333333333333,4,48000
26,110.mat,X110_FE_time,FE,time,486224,29.53333333333333,4,48000
27,111.mat,X111_DE_time,DE,time,485643,29.16666666666667,4,48000
28,111.mat,X111_FE_time,FE,time,485643,29.16666666666667,4,48000
29,112.mat,X112_DE_time,DE,time,485643,28.83333333333333,4,48000
30,112.mat,X112_FE_time,FE,time,485643,28.83333333333333,4,48000
31,118.mat,X118_DE_time,DE,time,122571,29.95,7,12000
32,118.mat,X118_FE_time,FE,time,122571,29.95,7,12000
33,118.mat,X118_BA_time,BA,time,122571,29.95,7,12000
34,119.mat,X119_DE_time,DE,time,121410,29.53333333333333,7,12000
35,119.mat,X119_FE_time,FE,time,121410,29.53333333333333,7,12000
36,119.mat,X119_BA_time,BA,time,121410,29.53333333333333,7,12000
37,120.mat,X120_DE_time,DE,time,121556,29.16666666666667,7,12000
38,120.mat,X120_FE_time,FE,time,121556,29.16666666666667,7,12000
39,120.mat,X120_BA_time,BA,time,121556,29.16666666666667,7,12000
40,121.mat,X121_DE_time,DE,time,121556,28.83333333333333,7,12000
41,121.mat,X121_FE_time,FE,time,121556,28.83333333333333,7,12000
42,121.mat,X121_BA_time,BA,time,121556,28.83333333333333,7,12000
43,122.mat,X122_DE_time,DE,time,244739,29.95,7,48000
44,122.mat,X122_FE_time,FE,time,244739,29.95,7,48000
45,123.mat,X123_DE_time,DE,time,487384,29.53333333333333,7,48000
46,123.mat,X123_FE_time,FE,time,487384,29.53333333333333,7,48000
47,124.mat,X124_DE_time,DE,time,486804,29.16666666666667,7,48000
48,124.mat,X124_FE_time,FE,time,486804,29.16666666666667,7,48000
49,125.mat,X125_DE_time,DE,time,488545,28.83333333333333,7,48000
50,125.mat,X125_FE_time,FE,time,488545,28.83333333333333,7,48000
51,130.mat,X130_DE_time,DE,time,121991,29.95,2,12000
52,130.mat,X130_FE_time,FE,time,121991,29.95,2,12000
53,130.mat,X130_BA_time,BA,time,121991,29.95,2,12000
54,131.mat,X131_DE_time,DE,time,122426,29.53333333333333,2,12000
55,131.mat,X131_FE_time,FE,time,122426,29.53333333333333,2,12000
56,131.mat,X131_BA_time,BA,time,122426,29.53333333333333,2,12000
57,132.mat,X132_DE_time,DE,time,121410,29.16666666666667,2,12000
58,132.mat,X132_FE_time,FE,time,121410,29.16666666666667,2,12000
59,132.mat,X132_BA_time,BA,time,121410,29.16666666666667,2,12000
60,133.mat,X133_DE_time,DE,time,122571,28.83333333333333,2,12000
61,133.mat,X133_FE_time,FE,time,122571,28.83333333333333,2,12000
62,133.mat,X133_BA_time,BA,time,122571,28.83333333333333,2,12000
63,135.mat,X135_DE_time,DE,time,243538,29.95,2,48000
64,135.mat,X135_FE_time,FE,time,243538,29.95,2,48000
65,136.mat,X136_DE_time,DE,time,486804,29.53333333333333,2,48000
66,136.mat,X136_FE_time,FE,time,486804,29.53333333333333,2,48000
67,137.mat,X137_DE_time,DE,time,486804,29.16666666666667,2,48000
68,137.mat,X137_FE_time,FE,time,486804,29.16666666666667,2,48000
69,138.mat,X138_DE_time,DE,time,487964,28.83333333333333,2,48000
70,138.mat,X138_FE_time,FE,time,487964,28.83333333333333,2,48000
71,169.mat,X169_DE_time,DE,time,121846,29.95,4,12000
72,169.mat,X169_FE_time,FE,time,121846,29.95,4,12000
73,169.mat,X169_BA_time,BA,time,121846,29.95,4,12000
74,170.mat,X170_DE_time,DE,time,121846,29.53333333333333,4,12000
75,170.mat,X170_FE_time,FE,time,121846,29.53333333333333,4,12000
76,170.mat,X170_BA_time,BA,time,121846,29.53333333333333,4,12000
77,171.mat,X171_DE_time,DE,time,121846,29.16666666666667,4,12000
78,171.mat,X171_FE_time,FE,time,121846,29.16666666666667,4,12000
79,171.mat,X171_BA_time,BA,time,121846,29.16666666666667,4,12000
80,172.mat,X172_DE_time,DE,time,121701,28.83333333333333,4,12000
81,172.mat,X172_FE_time,FE,time,121701,28.83333333333333,4,12000
82,172.mat,X172_BA_time,BA,time,121701,28.83333333333333,4,12000
83,175.mat,X175_DE_time,DE,time,381890,29.53333333333333,4,48000
84,175.mat,X175_FE_time,FE,time,381890,29.53333333333333,4,48000
85,176.mat,X176_DE_time,DE,time,487964,29.16666666666667,4,48000
86,176.mat,X176_FE_time,FE,time,487964,29.16666666666667,4,48000
87,177.mat,X177_DE_time,DE,time,485063,28.83333333333333,4,48000
88,177.mat,X177_FE_time,FE,time,485063,28.83333333333333,4,48000
89,185.mat,X185_DE_time,DE,time,121846,29.95,7,12000
90,185.mat,X185_FE_time,FE,time,121846,29.95,7,12000
91,185.mat,X185_BA_time,BA,time,121846,29.95,7,12000
92,186.mat,X186_DE_time,DE,time,122136,29.53333333333333,7,12000
93,186.mat,X186_FE_time,FE,time,122136,29.53333333333333,7,12000
94,186.mat,X186_BA_time,BA,time,122136,29.53333333333333,7,12000
95,187.mat,X187_DE_time,DE,time,121991,29.16666666666667,7,12000
96,187.mat,X187_FE_time,FE,time,121991,29.16666666666667,7,12000
97,187.mat,X187_BA_time,BA,time,121991,29.16666666666667,7,12000
98,189.mat,X189_DE_time,DE,time,249146,29.95,7,48000
99,189.mat,X189_FE_time,FE,time,249146,29.95,7,48000
100,190.mat,X190_DE_time,DE,time,486224,29.53333333333333,7,48000
101,190.mat,X190_FE_time,FE,time,486224,29.53333333333333,7,48000
102,191.mat,X191_DE_time,DE,time,487384,29.16666666666667,7,48000
103,191.mat,X191_FE_time,FE,time,487384,29.16666666666667,7,48000
104,192.mat,X192_DE_time,DE,time,486804,28.83333333333333,7,48000
105,192.mat,X192_FE_time,FE,time,486804,28.83333333333333,7,48000
106,197.mat,X197_DE_time,DE,time,121846,29.95,2,12000
107,197.mat,X197_FE_time,FE,time,121846,29.95,2,12000
108,197.mat,X197_BA_time,BA,time,121846,29.95,2,12000
109,198.mat,X198_DE_time,DE,time,122136,29.53333333333333,2,12000
110,198.mat,X198_FE_time,FE,time,122136,29.53333333333333,2,12000
111,198.mat,X198_BA_time,BA,time,122136,29.53333333333333,2,12000
112,199.mat,X199_DE_time,DE,time,121846,29.16666666666667,2,12000
113,199.mat,X199_FE_time,FE,time,121846,29.16666666666667,2,12000
114,199.mat,X199_BA_time,BA,time,121846,29.16666666666667,2,12000
115,200.mat,X200_DE_time,DE,time,121991,28.83333333333333,2,12000
116,200.mat,X200_FE_time,FE,time,121991,28.83333333333333,2,12000
117,200.mat,X200_BA_time,BA,time,121991,28.83333333333333,2,12000
118,201.mat,X201_DE_time,DE,time,245140,29.95,2,48000
