file_name,variable_name,axis,domain,sample_size,rotation_hz,label,sample_rate
188.mat,X188_DE_time,DE,time,122136,28.83333333333333,3,12000
188.mat,X188_FE_time,FE,time,122136,28.83333333333333,3,12000
188.mat,X188_BA_time,BA,time,122136,28.83333333333333,3,12000
222.mat,X222_DE_time,DE,time,121991,29.95,3,12000
222.mat,X222_FE_time,FE,time,121991,29.95,3,12000
222.mat,X222_BA_time,BA,time,121991,29.95,3,12000
276.mat,X276_DE_time,DE,time,121351,29.16666666666667,1,12000
276.mat,X276_FE_time,FE,time,121351,29.16666666666667,1,12000
276.mat,X276_BA_time,BA,time,121351,29.16666666666667,1,12000
100.mat,X100_DE_time,DE,time,485643,28.83333333333333,0,12000
100.mat,X100_FE_time,FE,time,485643,28.83333333333333,0,12000
105.mat,X105_DE_time,DE,time,121265,29.95,1,12000
105.mat,X105_FE_time,FE,time,121265,29.95,1,12000
105.mat,X105_BA_time,BA,time,121265,29.95,1,12000
106.mat,X106_DE_time,DE,time,121991,29.53333333333333,1,12000
106.mat,X106_FE_time,FE,time,121991,29.53333333333333,1,12000
106.mat,X106_BA_time,BA,time,121991,29.53333333333333,1,12000
107.mat,X107_DE_time,DE,time,122136,29.16666666666667,1,12000
107.mat,X107_FE_time,FE,time,122136,29.16666666666667,1,12000
107.mat,X107_BA_time,BA,time,122136,29.16666666666667,1,12000
108.mat,X108_DE_time,DE,time,122917,28.83333333333333,1,12000
108.mat,X108_FE_time,FE,time,122917,28.83333333333333,1,12000
108.mat,X108_BA_time,BA,time,122917,28.83333333333333,1,12000
109.mat,X109_DE_time,DE,time,243938,29.95,1,48000
109.mat,X109_FE_time,FE,time,243938,29.95,1,48000
110.mat,X110_DE_time,DE,time,486224,29.53333333333333,1,48000
110.mat,X110_FE_time,FE,time,486224,29.53333333333333,1,48000
111.mat,X111_DE_time,DE,time,485643,29.16666666666667,1,48000
111.mat,X111_FE_time,FE,time,485643,29.16666666666667,1,48000
112.mat,X112_DE_time,DE,time,485643,28.83333333333333,1,48000
112.mat,X112_FE_time,FE,time,485643,28.83333333333333,1,48000
118.mat,X118_DE_time,DE,time,122571,29.95,3,12000
118.mat,X118_FE_time,FE,time,122571,29.95,3,12000
118.mat,X118_BA_time,BA,time,122571,29.95,3,12000
119.mat,X119_DE_time,DE,time,121410,29.53333333333333,3,12000
119.mat,X119_FE_time,FE,time,121410,29.53333333333333,3,12000
119.mat,X119_BA_time,BA,time,121410,29.53333333333333,3,12000
120.mat,X120_DE_time,DE,time,121556,29.16666666666667,3,12000
120.mat,X120_FE_time,FE,time,121556,29.16666666666667,3,12000
120.mat,X120_BA_time,BA,time,121556,29.16666666666667,3,12000
121.mat,X121_DE_time,DE,time,121556,28.83333333333333,3,12000
121.mat,X121_FE_time,FE,time,121556,28.83333333333333,3,12000
121.mat,X121_BA_time,BA,time,121556,28.83333333333333,3,12000
122.mat,X122_DE_time,DE,time,244739,29.95,3,48000
122.mat,X122_FE_time,FE,time,244739,29.95,3,48000
123.mat,X123_DE_time,DE,time,487384,29.53333333333333,3,48000
123.mat,X123_FE_time,FE,time,487384,29.53333333333333,3,48000
124.mat,X124_DE_time,DE,time,486804,29.16666666666667,3,48000
124.mat,X124_FE_time,FE,time,486804,29.16666666666667,3,48000
125.mat,X125_DE_time,DE,time,488545,28.83333333333333,3,48000
125.mat,X125_FE_time,FE,time,488545,28.83333333333333,3,48000
130.mat,X130_DE_time,DE,time,121991,29.95,2,12000
130.mat,X130_FE_time,FE,time,121991,29.95,2,12000
130.mat,X130_BA_time,BA,time,121991,29.95,2,12000
131.mat,X131_DE_time,DE,time,122426,29.53333333333333,2,12000
131.mat,X131_FE_time,FE,time,122426,29.53333333333333,2,12000
131.mat,X131_BA_time,BA,time,122426,29.53333333333333,2,12000
132.mat,X132_DE_time,DE,time,121410,29.16666666666667,2,12000
132.mat,X132_FE_time,FE,time,121410,29.16666666666667,2,12000
132.mat,X132_BA_time,BA,time,121410,29.16666666666667,2,12000
133.mat,X133_DE_time,DE,time,122571,28.83333333333333,2,12000
133.mat,X133_FE_time,FE,time,122571,28.83333333333333,2,12000
133.mat,X133_BA_time,BA,time,122571,28.83333333333333,2,12000
135.mat,X135_DE_time,DE,time,243538,29.95,2,48000
